study.no,HB,title,authors,journal,pub.yr,vol,issue,page.st,page.end,DOI,author1,genus,species,family,order,class,subphylum,phylum,kingdom,comm.name,location,habitat,years,lat,long,temp.rear,temp.no,photoperiod,salinity,humidity,datathief,body.size.given,source,length.mm,dry.mg1,conversion1,dry.g2,dry.mg2,conversion2,dry.mg3,conversion3,dry.mg4,conversion4,dry.mass.mg,size.notes,notes,
1,1,Biology of Euseius mesembrinus (Acari: Phytoseiidae) : Life Tables on Ice Plant Pollen at Different Temperatures with Notes on Behavior and Food Range ,"Abou-Setta, M. M.; Childers, C. C.",Experimental and Applied Acarology,1987,3,NA,123,130,NA,Abou-Setta,Euseius,mesembrinus,Phytoseiidae,Acari,Arachnida,Chelicerata,Arthropoda,Animalia,citrus mite,Florida,terrestrial,1984,27.55,-81.81,26,,12.12,NA,80,0,0.5 - 0.8mm,Euseius tularensis,0.5,4.961E-03,Rogers 1976_Insecta,0.000498286,4.983E-01,Sage 1982_Arachnida,-3.03E+00,Ganihar 1997_Araneae,4.72E-03,Sample 1993_Insecta,0.0047,Sample 1993_Insecta,"Estimates for arachnids from Sage 1982 are too high, so use general insect relationship - see Engelmann 1961 and Douce 1976",
2,0,"Development, survival and reproduction of Euseius finlandicus (Acari : Phytoseiidae) at different constant temperatures","Broufas, GD; Koveos, DS",EXPERIMENTAL AND APPLIED ACAROLOGY,2001,25,6,441,460,10.1023/A:1011801703707,Broufas,Euseius,finlandicus,Phytoseiidae,Acari,Arachnida,Chelicerata,Arthropoda,Animalia,cherry mite,Greece,terrestrial,1998,40.65,22.14,25,,16.8,NA,75,0,0.5 - 0.8mm,Euseius tularensis,0.5,4.961E-03,Rogers 1976_Insecta,0.000498286,4.983E-01,Sage 1982_Arachnida,-3.03E+00,Ganihar 1997_Araneae,4.72E-03,Sample 1993_Insecta,0.0047,Sample 1993_Insecta,,
3,0,Life Table Studies of Elasmopalpus lignosellus (Lepidoptera: Pyralidae) on Sugarcane,"Sandhu, Hardev S.; Nuessly, Gregg S.; Webb, Susan E.; Cherry, Ronald H.; Gilbert, Robert A.",ENVIRONMENTAL ENTOMOLOGY,2010,39,6,2025,2032,10.1603/EN10038,Sandhu,Elasmopalpus,lignosellus,Pyralidae,Lepidoptera,Insecta,Tracheata,Arthropoda,Animalia,lesser cornstalk borer,"Gainesville, Florida",terrestrial,2006 - 2008,25.88,-82.44,NA,,14.1,NA,65,0,17 - 22mm wing size,http://entnemdept.ufl.edu/creatures/field/lesser_cornstalk_borer.htm,19.5,7.315E+01,Rogers 1976_Insecta,0.06049106,6.049E+01,Sage 1982_Lepidoptera adult,4.87E+03,Ganihar 1997_Lepidoptera adult,6.92E+01,Sample 1993_Lepidoptera adult,69.2438,Sample 1993_Lepidoptera adult,,
4,0,Effect of temperature on life table parameters of Plutella xylostella (Lepidoptera: Plutellidae) on two brassicaceous host plants,"Golizadeh, Ali; Kamali, Karim; Fathipour, Yaghoub; Abbasipour, Habib",Journal of Asia-Pacific Entomology,2009,12,4,207,212,10.1016/j.aspen.2009.05.002,Golizadeh,Plutella,xylostella,Plutellidae,Lepidoptera,Insecta,Tracheata,Arthropoda,Animalia,diamondback moth,"Tehran, Iran",terrestrial,2005,35.7,51.42,25,,14.1,NA,65,1,6 mm body length,http://en.wikipedia.org/wiki/Diamondback_moth,6,3.335E+00,Rogers 1976_Insecta,0.002411706,2.412E+00,Sage 1982_Lepidoptera adult,1.63E+02,Ganihar 1997_Lepidoptera adult,1.75E+00,Sample 1993_Lepidoptera adult,1.7470,Sample 1993_Lepidoptera adult,cauliflower; female longevity; datathief estimated lifetime fecundity from sum of age-specific fecundity,
5,0,"Developmental times and life tables for shore flies, Scatella tenuicosta (Diptera : Ephydridae), at three temperatures","Ugine, Todd A.; Sanderson, John P.; Wraight, Stephen P.",ENVIRONMENTAL ENTOMOLOGY,2007,36,5,989,997,10.1603/0046-225X(2007)36[989:DTALTF]2.0.CO;2,Ugine,Scatella,tenuicosta,Ephyridae,Diptera,Insecta,Tracheata,Arthropoda,Animalia,shore fly,"Ithaca, NY",terrestrial,2006,42.44,-76.5,NA,,16.8,NA,NA,0,2 mm body longth,http://ipm.ncsu.edu/AG136/fly5.html,2,1.875E-01,Rogers 1976_Insecta,0.000317827,3.178E-01,Sage 1982_Diptera adult,2.61E+00,Ganihar 1997_Diptera,1.92E-01,Sample 1993_Diptera adult,0.1920,Sample 1993_Diptera adult,,
6,0,"Regulation of life history in the brackish cladoceran, Daphniopsis australis (Sergeev and Williams, 1985) by temperature and salinity","Ismail, Hasnun N.; Qin, Jian G.; Seuront, Laurent",JOURNAL OF PLANKTON RESEARCH,2011,33,5,763,777,10.1093/plankt/fbq145,Ismail,Daphniopsis,australis,Daphniidae,Cladocera,Phyllopoda,Crustacea,Arthropoda,Animalia,brackish cladoceran,"Adelaide, Australia",marine,2005,34.93,138.6,20,,12.12,22,NA,1,2.5 mm length,Ismail et al. 2011 Fig 2c,2.5,NA,NA,NA,NA,NA,, ,,,0.0476,Used Daphnia weight from Forster 2012 S1,Temp values for 22 ppt salinity; used average weight of Daphnia,
7,0,"Effects of Temperature on Development, Survival, and Fecundity of Potato Tuberworm, Phthorimaea operculella (Lepidoptera: Gelechiidae) on Potato Tubers","Golizadeh, A.; Razmjou, J.; Rafiee-Dastjerdi, H.; Hassanpour, M.",AMERICAN JOURNAL OF POTATO RESEARCH,2012,89,2,150,158,10.1007/s12230-012-9237-4,Golizadeh,Phthorimaea,operculella,Gelechiidae,Lepidoptera,Insecta,Tracheata,Arthropoda,Animalia,potato tubeworm,"Ardabil, Iran",terrestrial,2010,38.25,48.3,24,,8.16,NA,65,1,9.5mm body length,Rivera 2011,9.5,1.112E+01,Rogers 1976_Insecta,0.006751114,6.751E+00,Sage 1982_Lepidoptera adult,6.19E+02,Ganihar 1997_Lepidoptera adult,7.33E+00,Sample 1993_Lepidoptera adult,7.3341,Sample 1993_Lepidoptera adult,,
8,0,Effects of temperature on two Mediterranean populations of Dinophilus gyrociliatus (Polychaeta : Dinophilidae) II. Effects on demographic parameters,"Simonini, R; Prevedelli, D",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2003,291,1,95,110,10.1016/S0022-0981(03)00100-X,Simonini,Dinophilus ,gyrociliatus,Dinophilidae,Aciculata,Polychaeta,,Annelida,Animalia,polychaete,"Ravenna, Italy",marine,NA,44.42,12.21,NA,5,12.12,30,NA,1,1 mm body length; assume width is 1/4 of length (from images),Prevedelli 2003,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2251,"Used Robinson 2010 for length-wt weight, then Riccardi for dry weight conversion",Did not use Genoa because population because only had 3 temps; datathief estimated lifetime fecundity as sum of age-specific fecundity (Figure 2),
9,1,Life tables of Phytoseiulus macropilis (Banks) (Gamasida : Phytoseiidae) at different temperatures,"Ali, FS",EXPERIMENTAL & APPLIED ACAROLOGY,1998,22,6,335,342,10.1023/A:1024560924642,Ali,Phytoseiulus,macropilis,Phytoseiidae,Gamasida,Arachnida,Chelicerata,Arthropoda,Animalia,spider mite,Florida (mites); Cairo (expt),terrestrial,1995,27.66,-81.52,25,5,NA,NA,NA,0,0.5 mm body length,http://www.tiptopbio.com/phytoseiulus_macropilis.html,0.5,4.961E-03,Rogers 1976_Insecta,0.000498286,4.983E-01,Sage 1982_Arachnida,-3.03E+00,Ganihar 1997_Araneae,4.72E-03,Sample 1993_Insecta,0.0047,Sample 1993_Insecta,,
10,1,Temperature Effects on Development and Fecundity of the Citrus Rust Mite (Acari: Eriophyidae) ,"Allen, JC; Yang Y; Knapp, KL",ENVIRONMENTAL ENTOMOLOGY,1995,24,5,996,1004,NA,Allen,Phyllocoptruta,oleivora,Eriophyidae,Acari,Arachnida,Chelicerata,Arthropoda,Animalia,citrus rust mite,"Lake Alfred, Florida",terrestrial,NA,28.09,-81.72,NA,9,24,NA,NA,0,0.12 mm body length,http://edis.ifas.ufl.edu/ch179,0.12,1.180E-04,Rogers 1976_Insecta,0.000413889,4.139E-01,Sage 1982_Arachnida,-3.21E+00,Ganihar 1997_Araneae,1.34E-04,Sample 1993_Insecta,0.0001,Sample 1993_Insecta,"immatures failed to complete development at 12 and 33C, not used",
