row,study.no,temp,r,Ro,longevity,fecundity,Tea,Tg,time.unit,time,beyondTopt
1,1,22,0.146,9.01,NA,13.35,7.47,15.04,day,7.47,no
2,1,26,0.25,16.55,NA,33.1,4.54,11.23,day,4.54,no
3,1,30,0.246,9.15,NA,15,4.4,9.01,day,4.4,no
4,2,15,0.0926,29.43,82.7,40.5,15.02083333,44.3,day,15.02083333,no
5,2,20,0.141,29.25,56.3,45.2,9.225,31.8,day,9.225,no
6,2,25,0.232,31.95,42.3,48.9,5.508333333,20.3,day,5.508333333,no
7,2,27,0.246,39.25,53.2,52.3,4.979166667,20.1,day,4.979166667,no
8,2,30,0.293,33.97,42.9,49.3,4.65,16.6,day,4.65,no
9,2,32,0.267,27.84,25.4,39.7,6.166666667,15.9,day,6.166666667,yes
10,3,13,-0.0021,0.7631,NA,29.2,9.7,130.6554,day,9.7,no
11,3,15,0.0146,4.4649,NA,42.3,7.2,102.7285,day,7.2,no
12,3,18,0.0199,4.7123,NA,51.1,5.8,77.9978,day,5.8,no
13,3,21,0.031,5.5819,NA,56.3,3.5,55.492,day,3.5,no
14,3,24,0.0644,18.8646,NA,97.5,2.9,45.6598,day,2.9,no
15,3,27,0.1109,53.8537,NA,158.4,2.7,36.0535,day,2.7,no
16,3,30,0.1229,43.3763,NA,165.3,2.5,30.7755,day,2.5,no
17,3,33,0.0924,12.8691,NA,110.2,2.3,27.7046,day,2.3,yes
18,3,36,0.0085,1.4335,NA,62.3,4.4,42.179,day,4.4,yes
19,4,10,0.038,29.67,30.38,70.9,3.07,89.59,day,3.07,no
20,4,15,0.105,106.44,29.21,170.1,1.71,44.04,day,1.71,no
21,4,20,0.209,179.9,27.53,245.4,0.33,24.8,day,0.33,no
22,4,25,0.293,159.84,25.2,204.9,0.4,17.28,day,0.4,no
23,4,28,0.34,172.19,18.71,208.2,0.14,15.11,day,0.14,no
24,4,30,0.33,107.24,12.92,166.1,0.3,14.13,day,0.3,no
31,5,20,0.217,183.9,21.8,378.8,14.37,24,day,14.37,no
32,5,26,0.396,329.6,19.9,709.8,8.12,14.6,day,8.12,no
33,5,28.5,0.43,204.3,15,476.8,7,12.4,day,7,no
34,6,16,0.421,1642.3,31.92,137.31,NA,22.71,day,22.71,no
35,6,20,0.56,1519.8,27.36,136.27,NA,17.91,day,17.91,no
36,6,25,0.207,2.8,11.29,1.31,NA,10.09,day,10.09,yes
37,7,16,0.042,12.81,16.47,45.66,75.83,61,day,75.83,no
38,7,20,0.095,22.12,9.58,71.36,41.99,32.8,day,41.99,no
39,7,24,0.158,40.89,8.2,109.59,27.97,23.6,day,27.97,no
40,7,28,0.228,43.24,6.78,117.74,20.14,16.5,day,20.14,no
41,7,32,0.192,22.38,5.95,80.84,17.31,16.2,day,17.31,yes
42,8,12,1.07,73,131,83.1482,NA,73,day,73,no
43,8,18,1.117,47,40,58.4868,NA,27,day,27,no
44,8,24,1.22,49,33,65.4723,NA,22,day,22,no
45,8,30,1.24,15,22,17.4002,NA,13,day,13,no
46,9,20,0.13,13,57.2,35.5,7.5,NA,day,7.5,no
47,9,25,0.36,86.2,42.9,68.3,5.7,NA,day,5.7,no
48,9,28,0.47,88.9,29.2,78.8,4.3,NA,day,4.3,no
49,9,30,0.43,54.7,36.7,46.2,4.2,NA,day,4.2,yes
50,9,32,0.29,24,28,24.7,5.5,NA,day,5.5,yes
51,10,14,-0.0541,0.13,15.15,2.22,26.49,37.16,day,26.49,no
52,10,17,-0.0119,0.78,10.6,6.1,14.49,20.78,day,14.49,no
53,10,19,0.0447,2.12,8.77,7.93,11.98,16.74,day,11.98,no
54,10,21,0.0842,3.17,7.78,14.69,9.56,13.61,day,9.56,no
55,10,23,0.1052,3.44,7.34,11.52,8.42,11.69,day,8.42,no
56,10,25,0.0971,2.73,6.55,10.55,7.28,10.25,day,7.28,no
57,10,27,0.114,2.99,5.21,15.44,7,9.55,day,7,no
58,10,29,0.1098,2.65,5.31,11.58,6.09,8.85,day,6.09,no
59,10,31,-0.0774,0.46,4.71,11.01,7.59,10.01,day,7.59,yes
60,11,33.1,0.0236,8.79,NA,124.21,54.7,92,day,54.7,yes
61,11,28.6,0.05,101.8,NA,378.2,55.6,101.8,day,55.6,no
62,11,24.4,0.0381,139.86,NA,628.66,69.9,129.9,day,69.9,no
63,11,20.6,0.021,198.91,NA,704.13,175.7,252.5,day,175.7,no
64,12,33.1,-0.0146,0.23,NA,36.62,61.5,100.5,day,61.5,yes
65,12,28.6,0.0323,25.84,NA,192.09,58.7,100.6,day,58.7,no
66,12,24.4,0.0307,67.39,NA,424.32,78.3,137.2,day,78.3,no
67,12,20.6,0.0065,8.26,NA,269.49,258.8,324,day,258.8,no
68,13,15,0.066,148.1,64.86,766.5181,NA,101.61,day,101.61,no
69,13,24,0.075,39.61,39.49,396.0624,NA,80.34,day,80.34,no
70,13,30,0.082,19.44,24,104.72,NA,32.48,day,32.48,no
71,14,5,0.37,29.84,NA,2986,5.9,9.2,week,41.3,no
72,14,10,0.76,40.62,NA,3933,2.3,4.9,week,16.1,no
73,14,15,1.22,33.93,NA,3199,2,2.3,week,14,no
74,14,20,1.53,24.43,NA,2368,1.3,2.1,week,9.1,no
75,14,25,1.13,5.47,NA,514,1.1,1.5,week,7.7,yes
76,15,5,0.47,25.35,NA,2492,4.5,6.9,week,31.5,no
77,15,10,0.84,33.87,NA,3369,2.4,4.2,week,16.8,no
78,15,15,2.38,78.26,NA,7613,0.9,1.8,week,6.3,no
79,15,20,3.13,69.75,NA,6972,0.7,1.4,week,4.9,no
80,15,25,3.15,15.13,NA,1514,0.6,0.9,week,4.2,no
81,16,16,0.088,6.28,NA,12.2,13.46,20.79,day,13.46,no
82,16,20,0.135,16.22,NA,28.92,9.66,20.66,day,9.66,no
83,16,25,0.258,28.06,NA,39.31,5.7,12.91,day,5.7,no
84,16,30,0.287,18.91,NA,34.08,4.61,10.23,day,4.61,no
85,16,32,0.124,4.58,NA,18.48,4.84,11.9,day,4.84,yes
86,17,22,0.063,197.2,NA,641.2,20.2,84.1,day,20.2,no
87,17,28,0.108,229.4,NA,708.3,13.28,50.1,day,13.28,no
88,17,34,0.023,1.85,NA,7.5,13.31,27,day,13.31,yes
89,18,18,0.109,NA,61.9,30.14,87.9,25.8,week,12.55714286,no
90,18,20,0.424,NA,76,401.51,41.5,12.6,week,5.928571429,no
91,18,25,0.521,NA,58.3,381.09,33,10,week,4.714285714,no
